epoch,Train SISNR,Test SISNR,Train CL Loss
51,5.457445502,6.265874036,-0.926272046
52,5.428094357,6.260978111,-0.927572055
53,5.491798565,6.324907891,-0.92765129
54,5.554942355,6.356834666,-0.928429546
55,5.509219676,6.237004534,-0.928193614
56,5.667855501,6.467019995,-0.929628601
57,5.56330809,6.555148514,-0.930415846
58,5.642501935,6.479501939,-0.931354368
59,5.618220374,6.504883385,-0.930589402
60,5.696954444,6.438508892,-0.931598537
61,5.721152693,6.749344126,-0.932624971
62,5.764463082,6.479067405,-0.933658715
63,5.733020633,6.566895056,-0.932726763
64,5.699258491,6.361742457,-0.933799108
65,5.899698958,6.73588709,-0.93506597
66,5.836270839,6.48696111,-0.934815742
67,5.681871444,6.424219433,-0.933981128
68,5.882115319,6.595797046,-0.935759334
69,5.957344085,6.811376969,-0.936714415
70,5.927313864,6.716937566,-0.936462568
71,6.019028068,6.745429071,-0.9376052
72,5.942439139,6.676973263,-0.93786069
73,5.943302199,6.650791796,-0.937422503
74,6.075351745,6.696212045,-0.938542599
75,6.039019004,6.678154365,-0.938314376
76,6.050012454,6.834298873,-0.938976018
77,6.096773937,6.691336854,-0.939245988
78,6.157225043,6.868012611,-0.939590475
79,6.201759756,6.780350161,-0.940258421
80,6.241982639,6.789982557,-0.940994637
81,6.15902631,6.761443392,-0.939830016
82,6.249497801,6.848545472,-0.940705532
83,6.256874815,6.83026526,-0.940341946
84,6.27489242,6.827321657,-0.940630008
85,6.269498959,6.897348245,-0.940753343
86,6.319989979,7.013794088,-0.9414356
87,6.277690738,6.873978106,-0.940889593
88,6.396588489,6.876017253,-0.941549834
89,6.42475304,6.960648076,-0.942378998
90,6.355837882,7.039785639,-0.942948144
91,6.419457614,6.918095597,-0.942593371
92,6.332010388,7.003877743,-0.941929113
93,6.383610144,6.992975918,-0.942357481
94,6.507152662,6.945426464,-0.942864591
95,6.550161466,7.008995493,-0.943044258
96,6.49800247,7.155329744,-0.94324507
97,6.548116401,7.069977689,-0.943000212
98,6.573753297,7.118995603,-0.943181871
99,6.504755005,7.108421087,-0.94297317
100,6.527315021,6.977770933,-0.943650499
101,6.597772121,6.944256719,-0.943597848
102,6.60200052,6.925418202,-0.944425285
103,6.554326594,6.814230156,-0.94329077
104,6.629264221,7.072885482,-0.943902362
105,6.603978097,7.122483142,-0.944174664
106,6.626463234,6.873287741,-0.943874517
107,6.601741731,6.913624326,-0.943485111
108,6.670244336,7.18467687,-0.943918267
109,6.771203533,7.061150209,-0.945342721
110,6.755996808,7.013245598,-0.944699837
111,6.805136278,7.100575058,-0.944707079
112,6.768240914,7.184719642,-0.945228508
113,6.731946051,7.036761141,-0.945159309
114,6.931754649,6.987481443,-0.946446314
115,6.779252082,7.187516244,-0.945180627
116,6.876604244,6.995052973,-0.945406206
117,6.876807526,7.202721445,-0.944950845
118,6.855478823,7.334648752,-0.945494967
119,6.889467463,7.150576615,-0.944253171
120,6.824433565,7.145016265,-0.944925647
121,6.931539953,7.122261707,-0.945245998
122,6.996287346,7.169117578,-0.945249466
123,6.908898145,7.058098245,-0.944320917
124,7.07232292,7.250415921,-0.946047509
125,7.02618055,6.928100077,-0.945995919
126,7.077625036,7.189614542,-0.945854332
127,7.026668161,7.189308977,-0.945121717
128,7.11000216,7.053909524,-0.944928255
129,7.113236621,7.338121764,-0.945324518
130,7.019484267,7.186852519,-0.944533531
131,7.222163722,7.28681918,-0.945767377
132,7.076661557,7.139345129,-0.944744967
133,7.18555671,7.153416991,-0.944959579
134,7.159123793,7.154379606,-0.945745563
135,7.124851838,7.029418333,-0.944997078
136,7.255900845,7.199014298,-0.94534171
137,7.150400162,7.214040931,-0.944892453
138,7.238416672,7.46375525,-0.944962526
139,7.340403438,7.284044854,-0.945027823
140,7.373959705,7.380146106,-0.945411205
141,7.326500863,7.5023422,-0.94478544
142,7.454161376,7.123837376,-0.946043834
143,7.405007392,7.278066897,-0.945287874
144,7.454938576,7.412484908,-0.945088705
145,7.521710351,7.312108437,-0.945279485
146,7.4723088,7.36150794,-0.945719121
147,7.446886986,7.421569594,-0.945626803
148,7.476361915,7.342535257,-0.944965968
149,7.586310312,7.329705024,-0.945672706
150,7.512538582,7.455866392,-0.945784947
151,7.485504627,7.442783308,-0.944735898
152,7.645012319,7.481166665,-0.945016716
153,7.623892307,7.406034263,-0.94523959
154,7.692797035,7.318197958,-0.945495343
155,7.587416917,7.209337425,-0.945592171
156,7.68650049,7.5230347,-0.94572085
157,7.737320065,7.245096564,-0.946074244
158,7.599922433,7.505444463,-0.944331862
159,7.742352158,7.615093756,-0.945463162
160,7.757858887,7.776746162,-0.944367198
161,7.826928437,7.74179287,-0.945334151
162,7.819002643,7.842512774,-0.944837065
163,7.808853805,7.705839515,-0.945591999
164,7.886111975,7.680686919,-0.94589418
165,7.895259246,7.606653976,-0.945983298
166,7.750869766,7.702323731,-0.945675958
167,7.928058624,7.627332687,-0.946446063
168,8.059318781,7.704919783,-0.947343003
169,7.894012585,7.794021519,-0.94665063
170,7.977137551,7.80761795,-0.947466876
171,8.083240941,7.931289045,-0.948179234
172,7.893037021,7.82260139,-0.947576951
173,8.025540754,7.823350183,-0.947667874
174,8.097521558,7.914380852,-0.947846452
175,8.037565082,7.642814747,-0.948172992
176,8.07640551,7.731809195,-0.947771611
177,8.086265847,8.05162735,-0.948186327
178,8.133939222,7.768368967,-0.949172741
179,8.167211682,7.912830957,-0.949536212
180,8.088724419,7.832251207,-0.948979689
181,8.18569833,7.812309146,-0.949805079
182,8.159779698,8.121099591,-0.949873773
183,8.213659316,7.671419946,-0.950384105
184,8.159007505,7.90855902,-0.950648723
185,8.275166303,8.036701043,-0.951188618
186,8.274165019,8.021855259,-0.95040023
187,8.318522289,7.980536914,-0.951234879
188,8.24924463,7.77826852,-0.950590964
189,8.262938067,8.077792255,-0.95101003
190,8.281462088,7.920466924,-0.950905459
191,8.348105028,8.066331172,-0.951143781
192,8.334571481,7.982488632,-0.951734401
193,8.382135272,7.831666239,-0.952389093
194,8.297769785,7.968913523,-0.951323114
195,8.317490786,8.000159907,-0.951558681
196,8.411408648,8.077994275,-0.95244143
197,8.314233318,8.074138411,-0.9518084
198,8.339301109,7.887526639,-0.952555278
199,8.406798676,7.729739308,-0.952411851
200,8.312496334,8.015486336,-0.952137377
201,8.584240869,8.0397645,-0.953150716
202,8.51590991,8.285226377,-0.953254541
203,8.400564268,8.049406131,-0.952285381
204,8.327922568,8.102620896,-0.952337334
205,8.554049075,8.016242798,-0.953815971
206,8.480453789,8.187877425,-0.953354716
207,8.463233665,8.199328852,-0.953310672
208,8.5855176,8.020152028,-0.954072552
209,8.437234908,8.142168276,-0.953789653
210,8.612300187,7.989516226,-0.954363199
211,8.642636523,8.161485402,-0.95381329
212,8.629583299,8.012621021,-0.954183679
213,8.619673818,8.161735264,-0.954509649
214,8.578232884,8.271390231,-0.954464233
215,8.575346559,8.05421656,-0.954817628
216,8.604997769,7.861868302,-0.954980716
217,8.594653875,7.954639443,-0.955174273
218,8.528156087,8.17841049,-0.954545639
219,8.563966349,7.972586536,-0.955061594
220,8.566070378,8.268779961,-0.955073616
221,8.699945927,8.258805799,-0.955502555
222,8.607341528,8.32536335,-0.956073666
223,8.563019425,8.288687817,-0.955279846
224,8.695804864,8.457695993,-0.955633409
225,8.709013015,8.288593221,-0.956527894
226,8.772823155,8.213455351,-0.955712749
227,8.758889228,8.255305767,-0.955599984
228,8.747674346,8.247067229,-0.956407286
229,8.802426815,8.210057727,-0.95606688
230,8.808873177,8.19713486,-0.955877479
231,8.751807392,8.336031612,-0.95560813
232,8.692666695,8.411818035,-0.955390524
233,8.852923065,8.161958591,-0.955747878
234,8.849563271,8.342506933,-0.955655545
235,8.76716882,8.033133316,-0.955813622
236,8.824274763,8.386755753,-0.955084134
237,8.767349184,8.41665953,-0.954851096
238,8.866549373,8.428431018,-0.955857577
239,8.787777036,8.096952295,-0.955209538
240,8.878287211,8.368719427,-0.955593796
241,8.918168426,8.526026853,-0.95589886
242,8.927528411,8.458580208,-0.956394669
243,8.82653439,8.553727158,-0.956122436
244,8.883587539,8.201757058,-0.956007984
245,8.944567889,8.493745899,-0.955519438
246,8.849386394,8.67429409,-0.955913231
247,8.943737268,8.276692208,-0.955816487
248,8.821644336,8.488559532,-0.955728
249,8.973133117,8.404321527,-0.955491342
250,8.989007294,8.451022482,-0.955723856
251,9.052365512,8.367773358,-0.956334941
252,8.932965487,8.34612759,-0.955418989
253,8.949849874,8.272722832,-0.955603285
254,8.915104181,8.469544252,-0.955540773
255,9.042972803,8.293925444,-0.956122922
256,9.026040614,8.420357013,-0.956136048
257,9.024876982,8.277311516,-0.955821004
258,8.990115076,8.263415519,-0.956273908
259,9.045098484,8.431755869,-0.955915604
260,8.960270047,8.562801449,-0.955604794
261,9.028934598,8.509241684,-0.955185665
262,9.039784521,8.547571707,-0.954923566
263,9.102114648,8.586873984,-0.956202118
264,9.0317792,8.466507157,-0.955812788
265,9.054172501,8.347217687,-0.95523457
266,9.084785998,8.524116643,-0.955733832
267,9.145195186,8.617803733,-0.955593357
268,9.196880072,8.523627305,-0.955745636
269,9.148841202,8.359180776,-0.955610547
270,9.290310711,8.393163935,-0.955619136
271,9.098410428,8.789819233,-0.955647608
272,9.03892082,8.584595815,-0.955744576
273,9.121277988,8.382704186,-0.955863692
274,9.207542986,8.548875133,-0.956261981
275,9.152092218,8.703979405,-0.955522003
276,9.14589262,8.526736029,-0.955453465
277,9.226747334,8.768794711,-0.955925457
278,9.339802891,8.23117187,-0.956648398
279,9.184348613,8.654423388,-0.955364591
280,9.236757994,8.539624747,-0.955210026
281,9.249952793,8.542057673,-0.95560489
282,9.283543855,8.718225622,-0.955759838
283,9.236699045,8.516719762,-0.955665717
284,9.26648137,8.627746717,-0.954444971
285,9.242638737,8.552862891,-0.954582846
286,9.246418715,8.404788613,-0.954960609
287,9.361435026,8.510261416,-0.95529951
288,9.420645833,8.547695494,-0.95591256
289,9.248763412,8.496954989,-0.954364132
290,9.384913653,8.595970106,-0.95461653
291,9.411172658,8.639423911,-0.955058835
292,9.30105266,8.594629757,-0.955710221
293,9.353243709,8.516629513,-0.95548939
294,9.427498966,8.723020943,-0.956044873
295,9.382868171,8.545156066,-0.95510136
296,9.435016006,8.647978703,-0.955453066
297,9.478938907,8.658106573,-0.955726326
298,9.430917889,8.906860105,-0.955271361
299,9.499176472,8.663703513,-0.955837198
300,9.418555826,8.840076288,-0.954323877
301,9.36994487,8.604856602,-0.95409343
302,9.553843319,8.625271304,-0.955612861
303,9.50273025,8.601354067,-0.955386061
304,9.381452739,8.661993933,-0.954403002
305,9.558688045,8.620554066,-0.955302704
306,9.631627649,8.995803769,-0.954610111
307,9.410660654,8.752369865,-0.954287345
308,9.63649556,8.684137464,-0.954633402
309,9.576382607,8.568048851,-0.954745257
310,9.486228585,9.091183313,-0.955014931
311,9.594471216,8.74746391,-0.954994284
312,9.558512241,8.576490935,-0.954924578
313,9.656980783,8.73696394,-0.95493882
314,9.68710354,8.914355969,-0.955493556
315,9.64701426,9.044482287,-0.954690594
316,9.63886413,8.907886442,-0.954707809
317,9.675074488,8.865874449,-0.954880422
318,9.484306812,8.802340118,-0.953794155
319,9.620160758,8.776627016,-0.954551456
320,9.577829301,8.878527347,-0.954718774
321,9.626935393,8.401860372,-0.954682883
322,9.59143424,8.74159162,-0.9545771
323,9.678287745,8.793163411,-0.955270233
324,9.606525987,8.787708322,-0.954542574
325,9.650956839,8.786957335,-0.954756822
326,9.692091852,8.699034564,-0.954586908
327,9.631472588,8.650334406,-0.955198279
328,9.657315731,8.903182824,-0.955348313
329,9.564491779,8.995099076,-0.955277277
330,9.62586686,8.9269852,-0.955552751
331,9.684146792,8.809684904,-0.955518452
332,9.661784887,8.992825429,-0.954666134
333,9.717437804,8.657563464,-0.954518434
334,9.830993384,9.069046489,-0.955060516
335,9.787063003,8.709248908,-0.9552736
336,9.676320255,8.985306454,-0.953857521
337,9.765477955,8.996413422,-0.953924675
338,9.712749243,8.794922066,-0.95461023
339,9.728770763,8.938369854,-0.953610178
340,9.753751904,8.896807631,-0.953970201
341,9.67361182,8.72500205,-0.954788541
342,9.739671171,8.562333115,-0.9545612
343,9.832397729,8.85498356,-0.95477795
344,9.749993712,8.999091458,-0.954478303
345,9.716748387,8.787060603,-0.95395072
346,9.814353287,8.8539138,-0.953992894
347,9.842521101,8.64637239,-0.95528689
348,9.842701882,9.002928193,-0.954207398
349,9.84930402,8.935332942,-0.953488337
350,9.810308307,8.603969439,-0.953841705
351,9.858947694,8.728394032,-0.954173384
352,9.870309055,8.929976908,-0.954474593
353,9.794392705,8.774475694,-0.954052087
354,9.793000489,8.894350108,-0.953372775
355,9.874211162,8.779522395,-0.954069108
356,9.848376542,9.116751575,-0.954151206
357,9.87756601,8.86353999,-0.954545204
358,9.948652595,8.718917306,-0.954488067
359,9.938368678,8.992934497,-0.954049837
360,9.891237825,9.042806188,-0.954005565
361,9.884148002,8.791235216,-0.954297524
362,9.888950616,9.34006718,-0.954458328
363,9.844727576,8.575917904,-0.95435087
364,9.893407643,8.929591139,-0.95361246
365,9.953559637,9.102106929,-0.953543793
366,10.00999182,9.000190409,-0.954385623
367,10.01457807,8.925385777,-0.954997011
368,9.930678964,8.833880401,-0.954837019
369,9.87873745,8.697474686,-0.954310434
370,9.975290209,8.950986306,-0.954649972
371,10.0896408,8.847969977,-0.954591809
372,9.903071374,8.84088738,-0.953972032
373,10.00818247,9.193583361,-0.954238614
374,9.948345661,9.136432536,-0.9538035
375,10.08382541,8.852953959,-0.954611551
376,10.0230417,8.923550367,-0.954648478
377,10.02745521,9.150208275,-0.955054052
378,10.04573521,8.868262784,-0.954291215
379,9.962562859,8.67220118,-0.953319466
380,10.07524496,8.64133683,-0.954483343
381,10.03386247,8.710981933,-0.954068677
382,10.09582758,8.971029925,-0.954011278
383,9.953764558,8.902757899,-0.953640668
384,10.11657703,9.115515558,-0.953946106
385,9.977177262,9.132591351,-0.953727176
386,10.17884147,8.838130053,-0.954901949
387,10.00567195,8.917283368,-0.953828033
388,10.13351244,9.056834308,-0.95321686
389,10.09191096,9.049485453,-0.953455087
390,10.11726224,9.112905431,-0.953932758
391,10.15921155,9.130866194,-0.95415285
392,10.18604156,8.848087645,-0.953993214
393,10.19819319,9.134927694,-0.954252392
394,10.09268165,9.085449266,-0.95350579
395,10.12260216,9.085675454,-0.952966277
396,10.16199917,9.113175599,-0.953347728
397,10.08132538,8.957042591,-0.952550394
398,10.17315426,9.114482148,-0.953158107
399,10.10270959,9.130592759,-0.952694139
400,10.12449247,9.130081352,-0.952860923
