Train SISNR,Test SISNR,Train CL Loss
9.113,8.322,-0.965
9.212,8.506,-0.965
9.078,8.495,-0.965
9.042,8.498,-0.964
9.205,8.410,-0.964
9.166,8.348,-0.964
9.157,8.698,-0.963
9.101,8.364,-0.963
9.141,8.435,-0.964
9.222,8.408,-0.963
9.197,8.817,-0.964
9.295,8.834,-0.963
9.186,8.218,-0.963
9.283,8.602,-0.964
9.246,8.677,-0.964
9.164,8.525,-0.964
9.244,8.708,-0.963
9.274,8.618,-0.964
9.285,8.614,-0.962
9.263,8.482,-0.963
9.291,8.480,-0.964
9.273,8.731,-0.963
9.460,8.499,-0.963
9.372,8.633,-0.963
9.353,8.497,-0.963
9.421,8.676,-0.963
9.395,8.326,-0.964
9.418,8.791,-0.962
9.365,8.758,-0.962
9.384,8.550,-0.964
9.387,8.640,-0.963
9.388,8.800,-0.963
9.395,8.422,-0.964
9.415,8.699,-0.963
9.431,8.630,-0.964
9.367,8.654,-0.964
9.444,8.570,-0.962
9.387,8.586,-0.961
9.399,8.878,-0.961
9.396,8.427,-0.963
9.423,8.372,-0.963
9.456,8.557,-0.963
9.471,8.684,-0.962
9.335,8.727,-0.961
9.462,8.872,-0.961
9.416,8.638,-0.962
9.419,8.940,-0.961
9.665,8.743,-0.963
9.553,8.514,-0.962
9.543,8.581,-0.962
9.529202848672867,8.785043199857077,-0.9618534240871668
9.572159677743912,8.549949876467387,-0.9627702180296183
9.630064398050308,8.652335747083027,-0.961913151666522
9.519271165132523,8.746148347854614,-0.9623584151268005
9.534073948860168,8.763212807973225,-0.9618993662297726
9.525667816400528,8.871040765444437,-0.9621756430715322
9.56944453716278,8.799538858731587,-0.9628779422491789
9.512001425027847,8.653146974245708,-0.9625421166419983
9.555556625127792,8.7635187069575,-0.9627331420779228
9.589462786912918,8.807101877530416,-0.9626211617141962
9.687830746173859,8.63599017461141,-0.962485684081912
9.681970328092575,8.775867358843486,-0.962440786883235
9.677590101957321,8.6050728003184,-0.9627989232540131
9.628443509340286,8.641841697692872,-0.961724953725934
9.697174847126007,8.821602519353231,-0.9613331723958254
9.684951931238174,8.645906106630962,-0.962375745177269
9.677520960569382,9.01887242794037,-0.9604996554553509
9.692433536052704,9.02376434803009,-0.9622881356626749
9.696430683135986,8.645355304082235,-0.9620074220001698
9.701427221298218,8.775746655464172,-0.9618315454572439
9.661522328853607,8.537176553408305,-0.9608611781150103
9.628446102142334,8.779711318016052,-0.9607295226305723
9.666745364665985,8.569595328966777,-0.960375003516674
9.641058444976807,8.864138587315876,-0.9620496705174446
9.70636636018753,8.831848684946696,-0.9620840568095446
9.798106640577316,8.593030738830567,-0.9626754391938448
9.70963591337204,8.590858229001363,-0.9622979182749987
9.80659830570221,8.730751752853394,-0.960786322131753
9.778366774320602,8.7327099720637,-0.961293226107955
9.793720185756683,8.491073385874431,-0.9619337804615498
9.724200129508972,8.95763738155365,-0.9623945634812117
