Normal Train SISNR,Normal Test SISNR,Normal Train CL Loss,Normal-few Train SISNR,Normal-few Test SISNR,Normal-few Train CL Loss,SimSiam Train SISNR,SimSiam Test SISNR,SimSiam Train CL Loss,SimSiam-few Train SISNR,SimSiam-few Test SISNR,SimSiam-few Train CL Loss,SimSiam-pretrain Train SISNR,SimSiam-pretrain Test SISNR,SimSiam-pretrain Train CL Loss,SimSiam-round Train SISNR,SimSiam-round Test SISNR,SimSiam-round Train CL Loss
-0.470908628,1.087200044,-0.384993521,0.991473429,0.052767824,-0.464262518,4.736,5.938,-0.953,6.730220472,4.832948545,-0.945875393,5.319090009,6.340732654,-0.937054357,5.434224263,6.219017283,-0.935938165
-0.630925819,0.980025472,-0.379859478,1.022129255,0.108546028,-0.46449736,4.896,5.894,-0.954,6.771630764,4.609115863,-0.947336655,5.232125178,6.293469532,-0.936008386,5.460182339,6.210254471,-0.935907677
-0.482423814,1.047445671,-0.38255361,0.9930007,0.073727709,-0.463603167,4.926,5.729,-0.955,6.807081038,4.40797868,-0.946925494,5.29639335,6.166224837,-0.936084175,5.383555889,6.34383113,-0.936283547
-0.477232489,1.116388282,-0.382023991,1.110802872,0.181732252,-0.463165732,4.895,5.909,-0.956,6.976366828,4.610254274,-0.948336503,3.297826006,5.545929567,-0.814217543,3.355876541,5.83204573,-0.821307912
-0.588125364,1.1526029,-0.377403691,0.92520768,0.252576503,-0.455198321,5.093,5.838,-0.957,6.895965115,4.447903747,-0.947877301,4.899178386,6.085808086,-0.762103451,5.032374695,5.948422408,-0.78600168
-0.486661735,1.245690317,-0.382916239,1.099613397,0.238518547,-0.458925662,4.988,6.03,-0.957,7.01327024,4.721643176,-0.948386661,5.288836628,6.354604133,-0.760070879,5.362076625,6.527595949,-0.785892913
-0.447513869,1.248296709,-0.382234062,1.111560672,0.183191022,-0.459652262,5.075,6.051,-0.957,6.979182459,4.66227415,-0.948309604,5.501674056,6.457324974,-0.756344022,5.665381908,6.407676959,-0.78082324
-0.372042224,1.216856092,-0.381546373,1.17584584,0.283734453,-0.462270861,5.205,6.153,-0.958,6.933815818,4.661919859,-0.947782728,5.734718576,6.522446338,-0.749186529,5.774237365,6.461343996,-0.769640552
-0.357946583,1.341106878,-0.382897034,1.195666816,0.350125757,-0.460364009,5.172,6.068,-0.958,6.997418788,4.556884525,-0.947910832,5.897111028,6.638122241,-0.741360893,5.886085123,6.666428383,-0.76040454
-0.528197822,1.209112542,-0.375785704,1.118193664,0.340864792,-0.453401279,5.185,6.141,-0.96,7.013231508,4.755677424,-0.94879629,5.935171083,6.821221375,-0.729637519,5.948371232,6.660040649,-0.749100724
-0.473851514,1.243323365,-0.376596712,1.197674922,0.333234594,-0.455366405,5.198,6.128,-0.96,7.127977187,4.564075797,-0.949226935,6.167472586,6.877030341,-0.727939749,6.116240084,6.742690309,-0.743707053
-0.445543721,1.311633183,-0.372965641,1.236947377,0.289651685,-0.461664782,5.176,6.204,-0.959,7.030033358,4.870305622,-0.948150917,6.266419664,6.826804034,-0.716436671,6.378439739,6.845832976,-0.739608837
-0.425270694,1.251640261,-0.375671532,1.304444382,0.456498677,-0.458219433,5.279,6.231,-0.96,7.062093442,4.970318882,-0.948782915,6.331056789,7.068730831,-0.703445153,6.45010303,6.717409897,-0.728649508
-0.408213354,1.36648731,-0.379568271,1.253678489,0.380363605,-0.456155963,5.252,6.253,-0.961,7.105365076,4.80378847,-0.94975017,6.441374689,6.967614881,-0.697199479,6.480873749,6.918883864,-0.721989579
-0.246208257,1.32400803,-0.382591751,1.218884314,0.541362388,-0.456604573,5.387,6.22,-0.962,7.262989521,4.643764594,-0.950238497,6.472189739,6.861329103,-0.68488371,6.598955244,6.984911545,-0.714386538
-0.258895708,1.339283902,-0.379253559,1.283922741,0.427932511,-0.456788964,5.31,6.228,-0.962,7.13672158,4.80331791,-0.949748618,6.626057744,7.022776834,-0.678384159,6.752795652,6.918485252,-0.708413791
-0.267173257,1.36075372,-0.38020909,1.31685948,0.4330812,-0.45272163,5.4,6.372,-0.962,7.2041907,4.792994867,-0.949523314,6.77573584,7.064039056,-0.669899764,6.751400217,6.949865937,-0.697550979
-0.307569138,1.375346808,-0.380679487,1.368726221,0.542555443,-0.458764103,5.483,6.28,-0.963,7.212102921,4.683176283,-0.949320593,6.802746773,7.193771489,-0.661391582,6.977507085,7.203979945,-0.695380611
-0.270279097,1.434028036,-0.379957578,1.490197478,0.51214764,-0.45972451,5.482,6.541,-0.963,7.288454717,4.959020954,-0.95056837,6.919207528,7.139060489,-0.656220572,6.954851896,7.020614195,-0.68488436
-0.275665568,1.558963356,-0.379248654,1.363352572,0.501063437,-0.455677014,5.589,6.419,-0.964,7.232919462,4.916796347,-0.950422314,7.027515292,7.008118359,-0.645483319,7.138422966,7.211824155,-0.674017919
-0.28691577,1.453771473,-0.380311687,1.297011327,0.649384025,-0.452750565,5.476,6.345,-0.963,7.266433762,4.900940407,-0.949548002,7.004314423,7.39162364,-0.635772267,7.249449939,7.040094988,-0.672528116
-0.243110124,1.405952629,-0.376521897,1.477112549,0.595321639,-0.45805341,5.552,6.371,-0.964,7.312690043,4.765201788,-0.949956921,7.303032383,7.361941083,-0.630234949,7.333572432,7.530659437,-0.664532702
-0.367833205,1.567465327,-0.370084587,1.32045403,0.429094738,-0.451148738,5.573,6.418,-0.964,7.307508915,4.929664463,-0.949985098,7.290785059,7.349276582,-0.616810303,7.406002983,7.461126622,-0.650565026
-0.127146109,1.357621738,-0.38134346,1.38616952,0.595176078,-0.452309186,5.622,6.254,-0.965,7.33661667,5.021185668,-0.950882631,7.469047323,7.351758877,-0.60868218,7.551471427,7.422698903,-0.646530719
-0.304840867,1.529308002,-0.373896666,1.364001812,0.464116703,-0.453603789,5.601,6.489,-0.965,7.407058993,4.837318486,-0.950923987,7.607146755,7.510671775,-0.600453481,7.59508042,7.826787241,-0.634879936
-0.133621655,1.349108951,-0.378809729,1.429094009,0.485750292,-0.453207286,5.577,6.552,-0.965,7.418277694,4.926017899,-0.951155918,7.653583363,7.381620169,-0.591553612,7.774269074,7.518765871,-0.62980582
-0.10165245,1.503059871,-0.37978344,1.548423621,0.489867021,-0.457098863,5.801,6.538,-0.966,7.416164306,5.150526026,-0.951326411,7.806036919,7.616766771,-0.578490134,7.779081643,7.653539673,-0.614280153
-0.109984551,1.42416978,-0.376668674,1.549879103,0.657292425,-0.46008655,5.646,6.565,-0.966,7.392947335,4.844716627,-0.950416103,7.736702234,7.751852878,-0.565912804,7.898858249,7.760252666,-0.605442189
-0.275728174,1.563429009,-0.371864045,1.389801599,0.695803789,-0.450274786,5.742,6.466,-0.965,7.485847181,4.925534968,-0.950861933,7.932686776,7.850158993,-0.562087441,7.971441314,7.935481024,-0.596405722
-0.169244317,1.508502424,-0.376533779,1.431235265,0.592237552,-0.449694559,5.766,6.526,-0.966,7.483124764,4.931755285,-0.95158054,8.074499175,7.768109115,-0.55551756,7.980056703,8.094464835,-0.587495741
-0.091426763,1.581481646,-0.374900293,1.380376722,0.658697637,-0.450798338,5.736,6.579,-0.966,7.415645538,4.943796581,-0.951150744,7.994842708,7.952155415,-0.54003307,8.083670139,8.033498732,-0.581067873
-0.030095032,1.454523912,-0.379064666,1.581632918,0.668310801,-0.456364363,5.821,6.597,-0.967,7.60861163,5.013954919,-0.951968605,7.9805924,7.481957062,-0.53071516,8.210707426,7.455407333,-0.566813473
-0.033757844,1.598643105,-0.377533405,1.600245203,0.704124317,-0.458256063,5.715,6.675,-0.967,7.55219701,4.59665364,-0.951712978,8.150444686,7.870348652,-0.526367471,8.145587176,8.005269321,-0.551458731
-0.020833742,1.619038289,-0.378246178,1.563365484,0.619564983,-0.455446923,5.762,6.704,-0.967,7.420068925,5.071811784,-0.951009685,8.326325715,7.903998812,-0.518357616,8.363709658,7.799773876,-0.545678061
-0.141656446,1.631877718,-0.373732217,1.562744464,0.575207197,-0.450476086,5.904,6.731,-0.968,7.537461265,4.999860512,-0.951432234,8.438638389,8.02105364,-0.513292884,8.306092113,8.031104048,-0.535064893
-0.020993637,1.657738528,-0.374456978,1.560602427,0.606986268,-0.455613675,5.833,6.421,-0.968,7.564432313,4.980486726,-0.950840779,8.308351487,7.969040767,-0.503471871,8.538197264,7.967984176,-0.530350607
-0.088794069,1.714384593,-0.372091861,1.536006497,0.639018674,-0.453303072,5.901,6.446,-0.968,7.570140346,5.013152458,-0.951486132,8.538850069,8.303022297,-0.497665111,8.534083053,8.020682923,-0.51297643
-0.035390513,1.840714301,-0.374139211,1.515017821,0.723335479,-0.447857337,5.91,6.693,-0.968,7.629764849,5.061660031,-0.951502464,8.456355885,8.270887653,-0.488873788,8.545606539,8.274875697,-0.499901594
-0.011237368,1.585757469,-0.37780004,1.545026222,0.674019378,-0.451102475,5.923,6.646,-0.969,7.651533311,5.203927472,-0.95148126,8.627036184,8.270450632,-0.485773123,8.519716173,8.126447288,-0.490931793
-0.02002078,1.574911832,-0.372721363,1.610197386,0.654547421,-0.455877885,5.89,6.676,-0.969,7.658390907,4.892341841,-0.95112915,8.663435489,8.194739302,-0.481029117,8.675212711,8.446650592,-0.484215069
0.017844433,1.604365012,-0.375017342,1.581177633,0.727939044,-0.453498089,5.985,6.602,-0.969,7.633348511,4.954385309,-0.95155317,8.723905563,8.308088517,-0.476746968,8.755707145,8.379620926,-0.47867477
0.119314986,1.634386176,-0.375075556,1.576707146,0.795212176,-0.450687366,5.91,6.74,-0.969,7.695796274,4.934666729,-0.9521555,8.745520473,8.411300739,-0.469785445,8.66096282,8.51192325,-0.46016422
0.07235462,1.375300722,-0.373831213,1.613545512,0.821443669,-0.455233995,5.935,6.812,-0.969,7.736888055,4.997970484,-0.952158145,8.790987223,8.348717864,-0.469401339,8.845782489,8.184023078,-0.458102625
